,times,init_volumes,final_volumes,tolls,revs,Time,After,Before,
1,0.25,577.7777778,437.749156,1.66592953,729.2592456,12:00:00 AM,437.749156,577.7777778,0
2,0.5,577.7777778,437.749156,1.66592953,729.2592456,,437.749156,577.7777778,
3,0.75,577.7777778,437.749156,1.66592953,729.2592456,,437.749156,577.7777778,
4,1,577.7777778,437.749156,1.66592953,729.2592456,,437.749156,577.7777778,
5,1.25,577.7777778,437.749156,1.66592953,729.2592456,,437.749156,577.7777778,
6,1.5,577.7777778,437.749156,1.66592953,729.2592456,,437.749156,577.7777778,
7,1.75,577.7777778,437.749156,1.66592953,729.2592456,,437.749156,577.7777778,
8,2,577.7777778,437.749156,1.66592953,729.2592456,,437.749156,577.7777778,
9,2.25,577.7777778,437.749156,1.66592953,729.2592456,,437.749156,577.7777778,
10,2.5,577.7777778,437.749156,1.66592953,729.2592456,,437.749156,577.7777778,
11,2.75,578.9333333,438.4492976,1.669261389,731.8864834,2:30:00 AM,438.4492976,578.9333333,0.104166667
12,3,578.3555556,438.0993143,1.667595459,730.5724272,,438.0993143,578.3555556,
13,3.25,580.0888889,439.1487391,1.672593248,734.5172158,,439.1487391,580.0888889,
14,3.5,582.4,440.5455221,1.679256966,739.7891368,,440.5455221,582.4,
15,3.75,582.4,440.5455221,1.679256966,739.7891368,,440.5455221,582.4,
16,4,585.8666667,442.6354464,1.689252543,747.7230535,,442.6354464,585.8666667,
17,4.25,596.8444444,449.2119758,1.720905204,773.051227,,449.2119758,596.8444444,
18,4.5,607.8222222,455.7253278,1.752557865,798.6850077,,455.7253278,607.8222222,
19,4.75,623.4222222,464.8724646,1.797537963,835.6259029,,464.8724646,623.4222222,
20,5,643.0666667,476.2095994,1.854179567,882.9781086,,476.2095994,643.0666667,
21,5.25,689.2888889,502.0871799,1.987453929,997.8751383,5:00:00 AM,502.0871799,689.2888889,0.208333333
22,5.5,728.5777778,523.2024893,2.100737137,1099.1109,,523.2024893,728.5777778,
23,5.75,819.8666667,569.1399617,2.363954003,1345.42069,,569.1399617,819.8666667,
24,6,910,610.209682,2.623839009,1601.091967,,610.209682,910,
25,6.25,1022.088889,655.3420861,2.947029338,1931.312354,,655.3420861,1022.088889,
26,6.5,1161.911111,702.4086152,3.350184284,2353.198304,,702.4086152,1161.911111,
27,6.75,1338.133333,747.1293764,3.858292791,2882.643887,,747.1293764,1338.133333,
28,7,1500.488889,773.9222971,4.326418989,3348.312122,,773.9222971,1500.488889,
29,7.25,1674.4,787.293172,4.827863777,3800.944187,,787.293172,1674.4,
30,7.5,1875.466667,782.9890469,5.407607253,4234.09725,,782.9890469,1875.466667,
31,7.75,2088.088889,755.3814707,6.02066932,4547.902046,7:30:00 AM,755.3814707,2088.088889,0.3125
32,8,2228.488889,724.1595801,6.425490196,4653.080282,,724.1595801,2228.488889,
33,8.25,2434.755556,659.5471612,7.020227038,4630.170814,,659.5471612,2434.755556,
34,8.5,2567.644444,606.1062827,7.40339083,4487.241695,,606.1062827,2567.644444,
35,8.75,2550.311111,613.6018523,7.353412944,4512.067803,,613.6018523,2550.311111,
36,9,2601.733333,590.9055157,7.501680672,4432.784486,,590.9055157,2601.733333,
37,9.25,2542.8,616.8010181,7.33175586,4522.234479,,616.8010181,2542.8,
38,9.5,2424.933333,663.1297125,6.991906236,4636.540772,,663.1297125,2424.933333,
39,9.75,2318.044444,698.8462996,6.683709273,4670.885493,,698.8462996,2318.044444,
40,10,2076.533333,757.4909059,5.98735073,4535.363728,,757.4909059,2076.533333,
41,10.25,2010.088889,768.2616685,5.795768834,4452.667034,10:00:00 AM,768.2616685,2010.088889,0.416666667
42,10.5,1876.622222,782.9030582,5.410939112,4236.240779,,782.9030582,1876.622222,
